;uid_ENQ;Methodo;Libelle_Simple;Annee
1;CLF2012;EDGT;Clermont-Ferrand;2012
2;DOU2012;EMD;Douai;2012
3;THI2012;EDVM;Thionville;2012
4;VLN2011;EMD;Valenciennes;2011
5;ROA2012;EDVM;Roannes;2012
6;LCS2012;EDVM;Le Creusot;2012
7;PFO2012;EMR;Le Puisaye-Forterre;2012
8;AGL2012;EDVM;Angoulême;2012
9;LAR2011;EDVM;La Rochelle;2011
10;TLS2013;EMD;Toulouse;2013
11;DIN2010;EDVM;Dinan;2010
12;STE2010;EMD;Saint-Etienne;2010
13;ALB2011;EDVM;Albi;2011
14;LAV2011;EDVM;Laval;2011
15;CAY2010;EMD;Cayenne;2010
16;CAL2011;EDGT;Calvados;2011
17;GRE2010;EMD;Grenoble;2010
18;MAR2009;EDGT;Marseille;2009
19;BEA2010;EDVM;Beauvais;2010
20;VAR2012;EDVM;Var;2012
21;ARR2014;EDVM;Arras;2014
22;STL2011;EDVM;Saint-Louis;2011
23;STB2012;EDVM;Saint-Brieuc;2012
24;AGR2012;EDGT;Angers;2012
25;SQY2010;EDGT;Saint-Quentin-en-Yvelines;2010
26;IDF2010;EGT;Ile-de-France;2010
27;QMP2013;EDVM;Quimper;2013
28;RSY2013;EDVM;La Roche sur Yon;2013
29;BOR2009;EMD;Bordeaux;2009
30;AMI2010;EDGT;Amiens;2010
31;MON2014;EDGT;Montpellier;2014
32;BEZ2014;EDVM;Béziers;2014
33;VLC2014;EDGT;Valence;2014
34;LON2014;EDVM;Longwy;2014
35;CHS2014;EDVM;Châlon-sur-Saône;2014
36;NIC2009;EDGT;Nice;2009
37;BAY2010;EDGT;Bayonne;2010
38;SDO2011;EDVM;Les Sables d'Olonnes;2011
39;LOI2015;EDGT;Loire-Atlantique;2015
40;NIM2015;EMD;Nîmes;2015
41;DUN2015;EDGT;Dunkerque;2015
42;CAR2015;EDVM;Carcassonne;2015
43;LYO2015;EDGT;Lyon;2015
44;MTQ2014;EMD;Martinique;2014
45;ROY2015;EDVM;Royan;2015
46;NIO2016;EDVM;Niort;2016
47;ANM2016;EDGT;Annemasse;2016
48;DIJ2016;EDGT;Dijon;2016
49;CHE2016;EDVM;Cotentin;2016
50;NAN2013;EDGT;Nancy;2013
51;REU2016;EDGT;La Réunion;2016
52;BRH2009;EMD;Bas-Rhin;2009
53;MET2017;EDGT;Metz;2017
54;BEB2017;EDVM;Bourg-en-Bresse;2017
55;ANC2017;EDGT;Annecy;2017
56;CRE2017;EDVM;Creil;2017
57;AJA2017;EDVM;Corse;2017
58;ROU2017;EMD;Rouen;2017
59;SAI2016;EDVM;Saintes;2016
60;ROC2016;EDVM;Rochefort;2016
61;LIL2016;EMD;Lilles;2016
62;REN2018;EMC2;Rennes;2018
63;POI2018;EDVM;Poitiers;2018
64;HAV2018;EMC2;Le Havre;2018
65;BRE2018;EMC2;Brest;2018
66;ALE2018;EMC2;Alençon;2018
67;BES2018;EMC2;Besançon;2018
68;EVR2018;EDVM;Evreux;2018
69;GAP2018;EDVM;Gap;2018
70;VLN2019;EMC2;Valenciennes;2019
71;BOU2019;EMC2;Bouzonville;2019
72;TOU2019;EMC2;Tours;2019
73;EMP2019;EMP;France hexagonale;2019
