Variable,Type,Position,Taille,Libelle
MP1,c,1,1,CF
IDM1,f,2,1,Enq
IDM2,f,3,1,EnqRec
IDM3,c,4,4,EnqAnnee
IDM4,c,8,5,EnqCode
ZFM,c,13,9,ZF
ECH,c,22,5,Ech
GM1,c,27,5,Com
STM,c,32,4,ZT
M1,f,36,1,LogType
M2,f,37,1,LogOcc
M3,f,38,1,LogTel
M4,f,39,1,LogAnnuaire
M5,f,40,1,LogInternet
M6,i,41,2,VehN
M7A,f,43,1,Veh1_Typ
M8A,f,44,1,Veh1_Eng
M9A,i,45,4,Veh1_Ann
M10A,i,49,2,Veh1_Psc
M11A,f,51,1,Veh1_Pro
MAA,f,52,1,Veh1_Dsp
M12A,f,53,1,Veh1_Pli
M13A,f,54,1,Veh1_Pty
M7B,f,55,1,Veh2_Typ
M8B,f,56,1,Veh2_Eng
M9B,i,57,4,Veh2_Ann
M10B,i,61,2,Veh2_Psc
M11B,f,63,1,Veh2_Pro
MBB,f,64,1,Veh2_Dsp
M12B,f,65,1,Veh2_Pli
M13B,f,66,1,Veh2_Pty
M7C,f,67,1,Veh3_Typ
M8C,f,68,1,Veh3_Eng
M9C,i,69,4,Veh3_Ann
M10C,i,73,2,Veh3_Psc
M11C,f,75,1,Veh3_Pro
MCC,f,76,1,Veh3_Dsp
M12C,f,77,1,Veh3_Pli
M13C,f,78,1,Veh3_Pty
M7D,f,79,1,Veh4_Typ
M8D,f,80,1,Veh4_Eng
M9D,i,81,4,Veh4_Ann
M10D,i,85,2,Veh4_Psc
M11D,f,87,1,Veh4_Pro
MDD,f,88,1,Veh4_Dsp
M12D,f,89,1,Veh4_Pli
M13D,f,90,1,Veh4_Pty
M14,i,91,2,DrmN
M15A,f,93,1,Drm1_Typ
M16A,f,94,2,Drm1_Psc
M17A,f,96,1,Drm1_Eng
M18A,i,97,4,Drm1_Ann
M19A,f,101,1,Drm1_Pli
M20A,f,102,1,Drm1_Pty
M15B,f,103,1,Drm2_Typ
M16B,f,104,2,Drm2_Psc
M17B,f,106,1,Drm2_Eng
M18B,i,107,4,Drm2_Ann
M19B,f,111,1,Drm2_Pli
M20B,f,112,1,Drm2_Pty
M15C,f,113,1,Drm3_Typ
M16C,f,114,2,Drm3_Psc
M17C,f,116,1,Drm3_Eng
M18C,i,117,4,Drm3_Ann
M19C,f,121,1,Drm3_Pli
M20C,f,122,1,Drm3_Pty
M15D,f,123,1,Drm4_Typ
M16D,f,124,2,Drm4_Psc
M17D,f,126,1,Drm4_Eng
M18D,i,127,4,Drm4_Ann
M19D,f,131,1,Drm4_Pli
M20D,f,132,1,Drm4_Pty
M21,i,133,2,VelN
M22,i,135,2,VelElN
M23,f,137,1,VelParc
COEM,d,138,8,Coeff
MMET,f,146,1,EnqMeth
