Variable,Type,Position,Taille,Libelle,Coms
OP1,c,1,1,CF,
IDO3,c,2,4,EnqAnnee,
IDO4,c,6,5,EnqCode,
ZFO,c,11,9,ZF,
ECH,c,20,5,Ech,
PER,c,25,2,idPer,
GO1,c,27,5,Com,
STO,c,32,4,ZT,
O1A,f,36,1,logImp_secu,
O1B,f,37,1,logImp_envi, CADRE DE VIE
O1C,f,38,1,logImp_lois,
O1D,f,39,1,logImp_educ,
O1E,f,40,1,logImp_tspt, CIRCULATION
O1F,f,41,1,logImp_empl,
O1G,f,42,1,logImp_logt,
O2,f,43,1,logImp,
O3A,f,44,1,tspImp_accid,
O3B,f,45,1,tspImp_bruit,
O3C,f,46,1,tspImp_depMch,
O3D,f,47,1,tspImp_depVel,
O3E,f,48,1,tspImp_depDrm,
O3F,f,49,1,tspImp_depTco,
O3G,f,50,1,tspImp_pollu,
O3H,f,51,1,tspImp_pking,
O3I,f,52,1,tspImp_circu,
O4,f,53,1,tspImp,
O5A,f,54,1,polTspUrb_parking,
O5B,f,55,1,polTspUrb_plusVel,
O5C,f,56,1,polTspUrb_voitObl,
O5D,f,57,1,polTspUrb_voitEco,
O5E,f,58,1,polTspUrb_plusTco, MEME SI ON EST OBLIGE POUR CELA DE GENER LES AUTOMOBILISTES
O5F,f,59,1,polTspUrb_voitLim, IL FAUT LIMITER L'USAGE DE LA VOITURE
O5G,f,60,1,polTspUrb_reprPkg,
O6A,f,61,2,adjVoi_1,
O6B,f,63,2,adjVoi_2,
O6C,f,65,2,adjVoi_3,
O7A,f,67,2,adjTco_1,
O7B,f,69,2,adjTco_2,
O7C,f,71,2,adjTco_3,
O8A,f,73,2,adjVel_1,
O8B,f,75,2,adjVel_2,
O8C,f,77,2,adjVel_3,
COEO,d,79,8,CoeffOpi,
OMET,f,87,1,EnqMeth,
