Variable,Type,Position,Taille,Libelle,
TP1,c,1,1,CF,
IDT3,c,2,4,EnqAnnee,
IDT4,c,6,5,EnqCode,
ZFT,c,11,9,ZF,
ECH,c,20,5,Ech,
PER,c,25,2,idPer,
NDEP,c,27,2,idDep,
T1,c,29,1,idTrj,
GT1,c,30,5,Com,
STT,c,35,4,ZT,
T2,i,39,3,O_Mch,
T3,f,42,2,Mode,
T4,c,44,9,O_ZF,
GTO1,c,53,5,O_Com,
STTO,c,58,4,O_ZT,
T5,c,62,9,D_ZF,
GTD1,c,71,5,D_Com,
STTD,c,76,4,D_ZT,
T6,i,80,3,D_Mch,
T7,f,83,2,IdVeh,
T8,i,85,2,nPer,
T8A,i,87,2,nPsg_Maj,
T8B,i,89,2,nPsg_Min,
T9,f,91,1,ParcLieu,
T10,f,92,1,ParcType,
T11,i,93,2,ParcDur,
T12,i,95,8,Dis_V, en mètres
T13,i,103,8,Dis, en mètres
TMET,f,111,1,EnqMeth,
T3A,f,112,1,SansPermis,
NBOU,c,113,2,IdBcl,
NDBO,c,115,2,IdBcl_Rang,
